Date,Open,High,Low,Close,Adj Close,Volume
2021-04-16,1.950000,1.950000,1.920000,1.940000,1.940000,143200
2021-04-19,1.970000,2.000000,1.940000,1.950000,1.950000,147000
2021-04-20,1.980000,2.020000,1.950000,1.970000,1.970000,345000
2021-04-21,2.010000,2.070000,1.980000,2.050000,2.050000,254000
2021-04-22,2.060000,2.060000,1.960000,1.980000,1.980000,183700
2021-04-23,2.030000,2.060000,2.020000,2.040000,2.040000,155900
2021-04-26,2.070000,2.200000,2.060000,2.190000,2.190000,416600
2021-04-27,2.060000,2.130000,2.020000,2.090000,2.090000,218900
2021-04-28,2.060000,2.110000,2.060000,2.100000,2.100000,64200
2021-04-29,2.030000,2.030000,1.950000,1.980000,1.980000,140100
2021-04-30,1.980000,1.980000,1.920000,1.920000,1.920000,78600
2021-05-03,1.930000,2.050000,1.930000,2.040000,2.040000,89100
2021-05-04,1.960000,2.000000,1.930000,1.980000,1.980000,48400
2021-05-05,2.020000,2.150000,2.020000,2.150000,2.150000,175400
2021-05-06,2.130000,2.170000,2.090000,2.140000,2.140000,218700
2021-05-07,2.170000,2.170000,2.120000,2.130000,2.130000,76900
2021-05-10,2.150000,2.150000,2.100000,2.120000,2.120000,102500
2021-05-11,2.070000,2.080000,2.020000,2.070000,2.070000,76600
2021-05-12,2.070000,2.070000,1.900000,1.920000,1.920000,213400
2021-05-13,1.950000,2.020000,1.940000,1.950000,1.950000,124500
2021-05-14,2.120000,2.120000,2.000000,2.040000,2.040000,121400
2021-05-17,2.060000,2.070000,2.000000,2.030000,2.030000,155000
2021-05-18,2.050000,2.070000,1.980000,1.990000,1.990000,152400
2021-05-19,1.990000,2.000000,1.910000,1.940000,1.940000,327400
2021-05-20,2.130000,2.290000,2.110000,2.220000,2.220000,1909100
2021-05-21,2.300000,2.400000,2.070000,2.110000,2.110000,1037400
2021-05-24,2.280000,2.280000,2.070000,2.100000,2.100000,671800
2021-05-25,2.190000,2.230000,2.100000,2.140000,2.140000,455900
2021-05-26,2.160000,2.180000,2.010000,2.040000,2.040000,727500
2021-05-27,2.130000,2.210000,2.050000,2.060000,2.060000,3603200
2021-05-28,2.090000,2.260000,2.090000,2.250000,2.250000,443800
2021-06-01,2.140000,2.210000,2.120000,2.200000,2.200000,433300
2021-06-02,2.200000,2.200000,2.130000,2.170000,2.170000,480300
2021-06-03,2.160000,2.270000,2.130000,2.260000,2.260000,645700
2021-06-04,2.210000,2.250000,2.180000,2.230000,2.230000,328700
2021-06-07,2.210000,2.220000,2.120000,2.210000,2.210000,801200
2021-06-08,2.190000,2.240000,2.130000,2.230000,2.230000,567500
2021-06-09,2.140000,2.230000,2.140000,2.210000,2.210000,762100
2021-06-10,2.180000,2.400000,2.170000,2.360000,2.360000,1094400
2021-06-11,2.280000,2.350000,2.270000,2.340000,2.340000,664400
2021-06-14,2.260000,2.280000,2.220000,2.220000,2.220000,608000
2021-06-15,2.220000,2.240000,2.120000,2.120000,2.120000,433200
2021-06-16,2.150000,2.210000,2.140000,2.190000,2.190000,524100
2021-06-17,2.170000,2.220000,2.170000,2.190000,2.190000,155000
2021-06-18,2.150000,2.190000,2.000000,2.060000,2.060000,878800
2021-06-21,2.140000,2.150000,2.080000,2.150000,2.150000,422200
2021-06-22,2.120000,2.200000,2.120000,2.160000,2.160000,146700
2021-06-23,2.150000,2.200000,2.130000,2.170000,2.170000,113000
2021-06-24,2.100000,2.170000,2.070000,2.140000,2.140000,134300
2021-06-25,2.130000,2.180000,2.070000,2.070000,2.070000,149700
2021-06-28,2.090000,2.120000,2.040000,2.050000,2.050000,574200
2021-06-29,2.040000,2.050000,2.010000,2.010000,2.010000,133900
2021-06-30,2.000000,2.040000,2.000000,2.030000,2.030000,114000
2021-07-01,2.040000,2.090000,2.040000,2.090000,2.090000,300700
2021-07-02,2.100000,2.100000,2.010000,2.030000,2.030000,133800
2021-07-06,2.000000,2.050000,1.890000,1.940000,1.940000,578200
2021-07-07,1.950000,2.000000,1.930000,2.000000,2.000000,496700
2021-07-08,1.960000,1.990000,1.920000,1.930000,1.930000,580400
2021-07-09,1.990000,2.050000,1.990000,2.030000,2.030000,359600
2021-07-12,2.030000,2.060000,2.010000,2.040000,2.040000,73500
2021-07-13,2.070000,2.150000,2.070000,2.140000,2.140000,125700
2021-07-14,2.120000,2.130000,2.060000,2.070000,2.070000,417800
2021-07-15,2.050000,2.170000,2.050000,2.110000,2.110000,338700
2021-07-16,2.130000,2.130000,2.080000,2.110000,2.110000,42400
2021-07-19,2.030000,2.050000,1.930000,2.030000,2.030000,735300
2021-07-20,2.020000,2.100000,2.010000,2.090000,2.090000,79100
2021-07-21,2.110000,2.160000,2.100000,2.130000,2.130000,399600
2021-07-22,2.150000,2.200000,2.130000,2.130000,2.130000,534100
2021-07-23,2.170000,2.170000,2.070000,2.080000,2.080000,154800
